symbol,side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,qty,pnl_quote,pnl_pct,exit_reason,bars_held
NEAR/USDT,long,30661,30663,2026-03-12 15:15:00,2026-03-12 15:45:00,1.3222644000000001,1.3257447980000001,22.688351890892623,0.05493290874654106,0.005493290874654106,stop,2
DOT/USDT,long,10468,10472,2025-08-14 07:00:00,2025-08-14 08:00:00,4.294858799999999,4.233016871482078,6.985095761471833,-0.45579900405466867,-0.04557990040546687,stop,4
DOT/USDT,short,17769,17773,2025-10-29 08:15:00,2025-10-29 09:15:00,3.0623874000000004,3.0527394258,9.796278550519114,0.07055204840851037,0.007055204840851037,stop,4
DOT/USDT,long,21155,21168,2025-12-03 14:45:00,2025-12-03 18:00:00,2.3024604,2.3265326004,13.029540052024347,0.28952423937245586,0.028952423937245585,stop,13
DOT/USDT,long,23444,23448,2025-12-27 11:00:00,2025-12-27 12:00:00,1.7493498,1.7660251456908924,17.14922881632936,0.2618549311169669,0.02618549311169669,take_profit,4
DOT/USDT,short,26445,26447,2026-01-27 17:15:00,2026-01-27 17:45:00,1.8466306000000001,1.8328474961999999,16.245804656329206,0.20000717893746994,0.020000717893746994,stop,2
DOT/USDT,short,27686,27690,2026-02-09 15:30:00,2026-02-09 16:30:00,1.2927414,1.3159004027007897,23.206497447981477,-0.5616543128085028,-0.056165431280850275,stop,4
DOT/USDT,short,27876,27878,2026-02-11 15:00:00,2026-02-11 15:30:00,1.2367526000000002,1.2319303367999999,24.257074535359777,0.09302078747067949,0.00930207874706795,stop,2
DOT/USDT,short,28317,28319,2026-02-16 05:15:00,2026-02-16 05:45:00,1.3517296,1.3432856033999998,22.193787870000033,0.16347923102313391,0.01634792310231339,stop,2
DOT/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,1.3397320000000001,1.3252279926,22.39253820913436,0.3009114525060289,0.030091145250602892,stop,9
LTC/USDT,long,1324,1326,2025-05-11 01:00:00,2025-05-11 01:30:00,104.17083000000001,105.61102357,0.2879884896760446,0.3905932673970221,0.03905932673970221,stop,2
